area,plot,tree,common.name,scientific.name,family.name,DBH,type,Dead,Hcom,Htot,date,UTM.Easting,UTM.Northing
PAR_A01,1,1,farinha seca,Lindackeria paludosa,Achariaceae,13.5,O,FALSE,9.44,12.36,20180429,220542.4303,9634016.87
PAR_A01,1,2,envira preta,Guatteria schomburgkiana,Annonaceae,17.8,O,FALSE,NA,NA,20180429,220548.1522,9634018.957
PAR_A01,1,3,envira preta,Guatteria schomburgkiana,Annonaceae,10.5,O,FALSE,NA,NA,20180429,220546.6317,9634019.743
PAR_A01,1,4,envira preta,Guatteria schomburgkiana,Annonaceae,11,O,FALSE,NA,NA,20180429,220546.5434,9634019.694
PAR_A01,1,5,envira preta,Guatteria schomburgkiana,Annonaceae,14,O,FALSE,NA,NA,20180429,220546.455,9634019.645
PAR_A01,1,6,inga vermelho,Inga alba,Fabaceae,30.5,O,FALSE,NA,NA,20180429,220546.4188,9634020.168
PAR_A01,1,7,inga vermelho,Inga alba,Fabaceae,14.1,O,FALSE,NA,NA,20180429,220546.4188,9634020.168
PAR_A01,1,8,inga vermelho,Inga alba,Fabaceae,19.8,O,FALSE,NA,NA,20180429,220546.4188,9634020.168
PAR_A01,1,9,inga vermelho,Inga alba,Fabaceae,27,O,FALSE,NA,NA,20180429,220546.4188,9634020.168
PAR_A01,1,10,murta,Strychnos subcordata,Loganiaceae,13,O,FALSE,NA,NA,20180429,220543.9237,9634020.636
PAR_A01,1,11,envira preta,Guatteria schomburgkiana,Annonaceae,15.2,O,FALSE,NA,NA,20180429,220541.6794,9634020.596
PAR_A01,1,12,farinha seca,Lindackeria paludosa,Achariaceae,11,O,FALSE,NA,NA,20180429,220543.3675,9634021.742
PAR_A01,1,13,farinha seca,Lindackeria paludosa,Achariaceae,11.2,O,FALSE,13.08,17.15,20180429,220541.1634,9634021.618
PAR_A01,1,14,farinha seca,Lindackeria paludosa,Achariaceae,15.3,O,FALSE,NA,NA,20180429,220541.0774,9634021.788
PAR_A01,1,15,inga vermelho,Inga alba,Fabaceae,20.8,O,FALSE,NA,NA,20180429,220532.8512,9634013.43
PAR_A01,1,16,inga vermelho,Inga alba,Fabaceae,17.8,O,FALSE,NA,NA,20180429,220532.8512,9634013.43
PAR_A01,1,17,inga vermelho,Inga alba,Fabaceae,14,O,FALSE,NA,NA,20180429,220532.8512,9634013.43
PAR_A01,1,18,inga vermelho,Inga alba,Fabaceae,24,O,FALSE,NA,NA,20180429,220532.8512,9634013.43
PAR_A01,1,19,inga vermelho,Inga alba,Fabaceae,15.8,O,FALSE,NA,NA,20180429,220532.8512,9634013.43
PAR_A01,1,20,inga vermelho,Inga alba,Fabaceae,19.8,O,FALSE,NA,NA,20180429,220532.8512,9634013.43
PAR_A01,1,21,envira preta,Guatteria schomburgkiana,Annonaceae,18.2,O,FALSE,NA,NA,20180429,220533.6037,9634014.175
PAR_A01,1,22,envira preta,Guatteria schomburgkiana,Annonaceae,20.8,O,FALSE,8.09,19.27,20180429,220534.0586,9634017.716
PAR_A01,1,23,farinha seca,Lindackeria paludosa,Achariaceae,11.8,O,FALSE,12.95,16.36,20180429,220537.1696,9634023.894
PAR_A01,1,24,envira preta,Guatteria schomburgkiana,Annonaceae,18.7,O,FALSE,NA,NA,20180429,220542.1631,9634026.398
PAR_A01,1,25,envira preta,Guatteria schomburgkiana,Annonaceae,16,O,FALSE,NA,NA,20180429,220544.0325,9634027.201
PAR_A01,1,26,casca seca,Licania canescens,Chrysobalanaceae,12.4,O,FALSE,NA,NA,20180429,220543.4416,9634030.66
PAR_A01,1,27,envira preta,Guatteria schomburgkiana,Annonaceae,12,O,FALSE,NA,NA,20180429,220536.9696,9634031.058
PAR_A01,1,28,envira preta,Guatteria schomburgkiana,Annonaceae,13.8,O,FALSE,NA,NA,20180429,220536.6099,9634030.864
PAR_A01,1,29,envira preta,Guatteria schomburgkiana,Annonaceae,19.2,O,FALSE,11.26,18.51,20180429,220532.5072,9634027.896
PAR_A01,1,30,envira preta,Guatteria schomburgkiana,Annonaceae,17.8,O,FALSE,8.09,14.97,20180429,220531.3553,9634028.582
PAR_A01,1,31,envira preta,Guatteria schomburgkiana,Annonaceae,19,O,FALSE,NA,NA,20180429,220540.9844,9634035.587
PAR_A01,1,32,breu sucuruba,Trattinnickia burserifolia,Burseraceae,11,O,FALSE,NA,NA,20180429,220539.4364,9634034.111
PAR_A01,1,33,envira preta,Guatteria schomburgkiana,Annonaceae,16.7,O,FALSE,NA,NA,20180429,220533.3876,9634039.302
PAR_A01,1,34,envira preta,Guatteria schomburgkiana,Annonaceae,27.7,O,FALSE,NA,NA,20180429,220536.7274,9634041.818
PAR_A01,1,35,sucuuba,Himatanthus sucuuba,Apocynaceae,13,O,FALSE,NA,NA,20180429,220537.9763,9634041.619
PAR_A01,1,36,farinha seca,Lindackeria paludosa,Achariaceae,11.8,O,FALSE,10.26,15.5,20180429,220531.2674,9634038.938
PAR_A01,1,37,envira preta,Guatteria schomburgkiana,Annonaceae,11.6,O,FALSE,NA,NA,20180429,220533.2429,9634044.175
PAR_A01,1,38,inga vermelho,Inga alba,Fabaceae,36.7,O,FALSE,NA,NA,20180429,220535.0286,9634045.218
